gridID,RF
432,0.676595745
1020,0.775167785
623,0.784444444
593,0.785894207
433,0.789915966
634,0.802083333
1187,0.803571429
526,0.816176471
457,0.816982409
594,0.820454545
827,0.821678322
475,0.824242424
734,0.825647505
735,0.828467153
615,0.831775701
1169,0.832061069
403,0.832713755
774,0.836170213
870,0.837719298
592,0.839285714
491,0.839869281
681,0.844262295
588,0.845153664
834,0.849206349
490,0.850297177
816,0.850490196
624,0.851239669
459,0.852313167
815,0.852459016
1133,0.853413655
696,0.853521127
1140,0.855932203
1021,0.85620915
473,0.857142857
404,0.858085809
573,0.858860196
1132,0.860606061
587,0.862637363
826,0.862962963
1129,0.863043478
896,0.863387978
895,0.865461847
489,0.870677058
773,0.871186441
464,0.871345029
1134,0.873493976
1127,0.875739645
736,0.879186603
498,0.880653266
799,0.883084577
721,0.884191176
1180,0.886255924
1197,0.886363636
1252,0.887029289
589,0.888429752
727,0.891196013
525,0.891203704
532,0.891472868
1195,0.89354067
1023,0.894366197
1246,0.895784543
996,0.896703297
356,0.898661568
597,0.901492537
625,0.903225806
436,0.904129794
644,0.904238305
940,0.904891304
1181,0.906323185
502,0.907738095
434,0.909090909
908,0.909235669
722,0.909855769
497,0.910071942
1080,0.910672854
850,0.910714286
426,0.911055694
1182,0.911721068
361,0.912133891
776,0.912251656
425,0.91260745
1022,0.91322314
723,0.914438503
466,0.915745856
456,0.915821033
537,0.9160401
972,0.917933131
1114,0.922222222
355,0.926253687
886,0.929906542
1019,0.930769231
564,0.931800912
401,0.932821798
463,0.932865039
352,0.93287037
604,0.93498452
739,0.935714286
962,0.938053097
496,0.944794953
494,0.946549391
374,0.948791349
595,0.951093951
567,0.952226345
1125,0.952941176
348,0.957286432
780,0.959621993
777,0.961313869
590,0.96306754
495,0.966397125
529,0.974581167
